FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2009/2010,Fraser,Chilliwack General Hospital,Wound/Laceration Care,,28,3.9,19.5
2009/2010,Fraser,Delta Hospital,All Other Procedures,88,520,2.6,13.6
2009/2010,Fraser,Delta Hospital,All Procedures,1027,4763,2.7,16.4
2009/2010,Fraser,Delta Hospital,Bariatric Surgery,5,16,6.6,22.3
2009/2010,Fraser,Delta Hospital,Biopsy in OR,,15,2.4,13.2
2009/2010,Fraser,Delta Hospital,Bladder Surgery,45,137,1.6,3.5
2009/2010,Fraser,Delta Hospital,Breast Biopsy,6,81,1.7,4
2009/2010,Fraser,Delta Hospital,Breast Reconstruction,,5,1,15.2
2009/2010,Fraser,Delta Hospital,Breast Reduction,40,81,12.1,40.1
2009/2010,Fraser,Delta Hospital,Cataract Surgery,238,615,12.4,26.9
2009/2010,Fraser,Delta Hospital,Cholecystectomy,36,448,1.9,7.2
2009/2010,Fraser,Delta Hospital,D&C and Related Surgery,55,260,1.6,10.2
2009/2010,Fraser,Delta Hospital,Dental Surgery,,25,1.9,17.7
2009/2010,Fraser,Delta Hospital,Excision Gynecomastia,5,17,6,18.2
2009/2010,Fraser,Delta Hospital,Fallopian Tube/Ovarian Surgery,15,71,1.6,5.3
2009/2010,Fraser,Delta Hospital,Fistula Repair - Non Vascular,,12,2.1,7.4
2009/2010,Fraser,Delta Hospital,Foot/Ankle Surgery,7,20,3.9,19.8
2009/2010,Fraser,Delta Hospital,Fracture Repair,6,12,1.6,16.6
2009/2010,Fraser,Delta Hospital,Hand/Wrist Surgery,10,20,2.9,10.2
2009/2010,Fraser,Delta Hospital,Hernia Repair - Abdominal,80,431,1.7,10.9
2009/2010,Fraser,Delta Hospital,Knee - ACL Repair,11,38,4,15.4
2009/2010,Fraser,Delta Hospital,Knee Arthroscopy,87,823,2.6,11
2009/2010,Fraser,Delta Hospital,Laparoscopy,,55,1.3,2.1
2009/2010,Fraser,Delta Hospital,Male Reproductive Surgery,5,7,4.4,11.7
2009/2010,Fraser,Delta Hospital,Mastectomy,,45,1.6,5
2009/2010,Fraser,Delta Hospital,Nasal Surgery,18,29,12.6,29.2
2009/2010,Fraser,Delta Hospital,Other Eye Surgery,92,239,5.6,32.3
2009/2010,Fraser,Delta Hospital,Other Orthopaedic Surgery,17,58,4.9,20.6
2009/2010,Fraser,Delta Hospital,Other Urology Surgery,,11,1.9,6.3
2009/2010,Fraser,Delta Hospital,Prostate Surgery,8,14,3.1,6.5
2009/2010,Fraser,Delta Hospital,Rectal Surgery,16,52,1.8,16.3
2009/2010,Fraser,Delta Hospital,Skin Surgery,5,8,1.9,10
2009/2010,Fraser,Delta Hospital,Skin Tumour Removal,48,218,2,13.4
2009/2010,Fraser,Delta Hospital,Sphincterotomy,,,0.7,3.4
2009/2010,Fraser,Delta Hospital,Tendon Surgery,,,2.5,5.8
2009/2010,Fraser,Delta Hospital,Tonsillectomy/Adenoidectomy,9,11,7.6,27
2009/2010,Fraser,Delta Hospital,Uterine Surgery,30,208,1.1,5
2009/2010,Fraser,Delta Hospital,Vaginal Repair,,20,6.7,16
2009/2010,Fraser,Delta Hospital,Varicose Veins Ligation/Stripping,15,38,5.8,11.3
2009/2010,Fraser,Delta Hospital,Wound/Laceration Care,8,40,3,12.8
2009/2010,Fraser,Eagle Ridge Hospital,Abdominoplasty,,12,12.7,17.7
2009/2010,Fraser,Eagle Ridge Hospital,All Other Procedures,285,681,4.7,21.9
2009/2010,Fraser,Eagle Ridge Hospital,All Procedures,2593,4999,6.7,25.1
2009/2010,Fraser,Eagle Ridge Hospital,Biopsy in OR,8,38,2.7,4.5
2009/2010,Fraser,Eagle Ridge Hospital,Bladder Surgery,48,171,4.1,17.9
2009/2010,Fraser,Eagle Ridge Hospital,Breast Biopsy,7,47,2,7.9
2009/2010,Fraser,Eagle Ridge Hospital,Breast Reconstruction,14,40,5.2,25.3
2009/2010,Fraser,Eagle Ridge Hospital,Breast Reduction,134,128,16.6,47.5
2009/2010,Fraser,Eagle Ridge Hospital,Cholecystectomy,129,277,6.9,19.2
2009/2010,Fraser,Eagle Ridge Hospital,Colostomy/Ileostomy,,14,10,15.9
2009/2010,Fraser,Eagle Ridge Hospital,Cone Biopsy,,36,4.2,13.2
2009/2010,Fraser,Eagle Ridge Hospital,Cyst/Ganglion Removal,23,80,8.1,22.9
2009/2010,Fraser,Eagle Ridge Hospital,D&C and Related Surgery,26,54,5.1,15.6
2009/2010,Fraser,Eagle Ridge Hospital,Dental Surgery,81,83,10.1,43.4
2009/2010,Fraser,Eagle Ridge Hospital,Examination Under Anaesthetic,8,42,2.4,8.5
2009/2010,Fraser,Eagle Ridge Hospital,Excision Gynecomastia,,,10,88.4
2009/2010,Fraser,Eagle Ridge Hospital,Fallopian Tube/Ovarian Surgery,33,66,6,16.3
2009/2010,Fraser,Eagle Ridge Hospital,Fistula Repair - Non Vascular,,5,1.9,4
2009/2010,Fraser,Eagle Ridge Hospital,Fracture Repair,9,97,0.4,7.3
2009/2010,Fraser,Eagle Ridge Hospital,Hand/Wrist Surgery,29,77,8,18.7
2009/2010,Fraser,Eagle Ridge Hospital,Hernia Repair - Abdominal,225,417,8.7,24
2009/2010,Fraser,Eagle Ridge Hospital,Hip Replacement,29,48,14,25
2009/2010,Fraser,Eagle Ridge Hospital,Knee - ACL Repair,65,124,12.6,24.6
2009/2010,Fraser,Eagle Ridge Hospital,Knee - Meniscectomy,,7,12.7,22.7
2009/2010,Fraser,Eagle Ridge Hospital,Knee Arthroscopy,150,180,10.8,29.9
2009/2010,Fraser,Eagle Ridge Hospital,Knee Replacement,98,82,16.6,31.9
2009/2010,Fraser,Eagle Ridge Hospital,Laparoscopy,23,53,3.1,10.5
2009/2010,Fraser,Eagle Ridge Hospital,Laparotomy,,10,3.1,12.7
2009/2010,Fraser,Eagle Ridge Hospital,Laryngoscopy,,36,3.9,9.1
2009/2010,Fraser,Eagle Ridge Hospital,Ligament Surgery,,13,3,9
2009/2010,Fraser,Eagle Ridge Hospital,Lipectomy,,9,10.1,22.7
2009/2010,Fraser,Eagle Ridge Hospital,Male Reproductive Surgery,,50,3.7,5.1
2009/2010,Fraser,Eagle Ridge Hospital,Mastectomy,14,81,2.7,11.9
2009/2010,Fraser,Eagle Ridge Hospital,Nasal Surgery,204,162,12,44.7
2009/2010,Fraser,Eagle Ridge Hospital,Nerve Surgery,50,121,7.4,24
2009/2010,Fraser,Eagle Ridge Hospital,Other Eye Surgery,5,5,15.9,51.5
2009/2010,Fraser,Eagle Ridge Hospital,Other Joint Reconstruction,10,22,8.6,24.9
2009/2010,Fraser,Eagle Ridge Hospital,Other Orthopaedic Surgery,112,299,8,24
2009/2010,Fraser,Eagle Ridge Hospital,Other Urology Surgery,9,91,3.7,5.7
2009/2010,Fraser,Eagle Ridge Hospital,Parotidectomy,7,28,4.1,7.3
2009/2010,Fraser,Eagle Ridge Hospital,Prostate Surgery,8,17,26,48
2009/2010,Fraser,Eagle Ridge Hospital,Rectal Surgery,40,54,7.1,15.5
2009/2010,Fraser,Eagle Ridge Hospital,Shoulder Surgery,76,163,8.9,23
2009/2010,Fraser,Eagle Ridge Hospital,Skin Surgery,6,25,1,12.1
2009/2010,Fraser,Eagle Ridge Hospital,Skin Tumour Removal,34,116,3.4,17.9
2009/2010,Fraser,Eagle Ridge Hospital,Sphincterotomy,,8,3.8,10.1
2009/2010,Fraser,Eagle Ridge Hospital,Spinal/Back Surgery,336,229,18.9,45.1
2009/2010,Fraser,Eagle Ridge Hospital,Tendon Surgery,7,38,0.7,13.5
2009/2010,Fraser,Eagle Ridge Hospital,Thyroidectomy,11,129,4,7.5
2009/2010,Fraser,Eagle Ridge Hospital,Tonsillectomy/Adenoidectomy,49,60,9,23.1
2009/2010,Fraser,Eagle Ridge Hospital,Tympanoplasty,,,7.8,8.7
2009/2010,Fraser,Eagle Ridge Hospital,Uterine Surgery,102,215,6,16.1
2009/2010,Fraser,Eagle Ridge Hospital,Vaginal Repair,13,12,7.6,10
2009/2010,Fraser,Eagle Ridge Hospital,Varicose Veins Ligation/Stripping,10,17,5,11.1
2009/2010,Fraser,Eagle Ridge Hospital,Wound/Laceration Care,27,92,7.3,22.5
2009/2010,Fraser,Langley Memorial Hospital,All Other Procedures,96,605,3.3,17.9
2009/2010,Fraser,Langley Memorial Hospital,All Procedures,1454,5928,6,28.9
2009/2010,Fraser,Langley Memorial Hospital,Biopsy in OR,,54,2.1,4.6
2009/2010,Fraser,Langley Memorial Hospital,Bladder Surgery,34,191,4.6,27.9
2009/2010,Fraser,Langley Memorial Hospital,Bowel Resection,11,80,3.3,11.2
2009/2010,Fraser,Langley Memorial Hospital,Breast Biopsy,,67,2.4,5.8
2009/2010,Fraser,Langley Memorial Hospital,Cataract Surgery,334,1299,4.7,18.9
2009/2010,Fraser,Langley Memorial Hospital,Cholecystectomy,44,217,6.1,28.8
2009/2010,Fraser,Langley Memorial Hospital,Colostomy/Ileostomy,,9,5.7,29.7
2009/2010,Fraser,Langley Memorial Hospital,Cone Biopsy,,16,2.7,5.9
2009/2010,Fraser,Langley Memorial Hospital,D&C and Related Surgery,9,68,6.2,12.9
2009/2010,Fraser,Langley Memorial Hospital,Dental Surgery,34,135,4.6,17
2009/2010,Fraser,Langley Memorial Hospital,Examination Under Anaesthetic,5,15,3.4,17.6
2009/2010,Fraser,Langley Memorial Hospital,Facial Bone Reconstruction,17,40,6.9,15.4
2009/2010,Fraser,Langley Memorial Hospital,Fallopian Tube/Ovarian Surgery,23,165,8.3,31
2009/2010,Fraser,Langley Memorial Hospital,Fistula Repair - Non Vascular,,10,1.6,14.4
2009/2010,Fraser,Langley Memorial Hospital,Foot/Ankle Surgery,5,46,21.9,32
2009/2010,Fraser,Langley Memorial Hospital,Fracture Repair,9,25,0.9,18.8
2009/2010,Fraser,Langley Memorial Hospital,Hand/Wrist Surgery,12,41,17.6,55.1
2009/2010,Fraser,Langley Memorial Hospital,Hernia Repair - Abdominal,91,307,9.6,35.8
2009/2010,Fraser,Langley Memorial Hospital,Hip Replacement,38,111,14.9,31.7
2009/2010,Fraser,Langley Memorial Hospital,Kidney/Bladder Stone Removal,,15,3.7,10.3
2009/2010,Fraser,Langley Memorial Hospital,Knee - ACL Repair,12,36,10.6,37.1
2009/2010,Fraser,Langley Memorial Hospital,Knee Arthroscopy,148,476,12,103.6
2009/2010,Fraser,Langley Memorial Hospital,Knee Replacement,106,239,16,36.5
2009/2010,Fraser,Langley Memorial Hospital,Laparoscopy,15,113,5.6,15.9
2009/2010,Fraser,Langley Memorial Hospital,Laparotomy,,18,3.4,17
2009/2010,Fraser,Langley Memorial Hospital,Laryngoscopy,,,4.6,5.6
2009/2010,Fraser,Langley Memorial Hospital,Ligament Surgery,,,22.6,48.9
2009/2010,Fraser,Langley Memorial Hospital,Male Reproductive Surgery,,19,2.4,3.1
2009/2010,Fraser,Langley Memorial Hospital,Mastectomy,,25,1.4,5.5
2009/2010,Fraser,Langley Memorial Hospital,Nasal Surgery,12,28,10,19.9
2009/2010,Fraser,Langley Memorial Hospital,Nerve Surgery,,,19.4,43.8
2009/2010,Fraser,Langley Memorial Hospital,Other Joint Reconstruction,19,63,23.3,42.5
2009/2010,Fraser,Langley Memorial Hospital,Other Orthopaedic Surgery,64,169,12,67.1
2009/2010,Fraser,Langley Memorial Hospital,Other Urology Surgery,10,138,2.4,7.1
2009/2010,Fraser,Langley Memorial Hospital,Parotidectomy,,,10,14.9
2009/2010,Fraser,Langley Memorial Hospital,Prostate Surgery,7,128,2.1,4.4
2009/2010,Fraser,Langley Memorial Hospital,Rectal Surgery,12,34,7.9,27.4
2009/2010,Fraser,Langley Memorial Hospital,Shoulder Surgery,50,155,24.7,56.4
2009/2010,Fraser,Langley Memorial Hospital,Sinus Surgery,8,24,10,16.4
2009/2010,Fraser,Langley Memorial Hospital,Skin Tumour Removal,43,155,7.4,27.8
2009/2010,Fraser,Langley Memorial Hospital,Tendon Surgery,,5,12.4,21.7
2009/2010,Fraser,Langley Memorial Hospital,Tonsillectomy/Adenoidectomy,12,42,8.7,14.9
2009/2010,Fraser,Langley Memorial Hospital,Tympanoplasty,,11,11,22.6
2009/2010,Fraser,Langley Memorial Hospital,Uterine Surgery,98,404,6.6,23.4
2009/2010,Fraser,Langley Memorial Hospital,Vaginal Repair,23,42,19.5,38
2009/2010,Fraser,Langley Memorial Hospital,Wound/Laceration Care,19,49,5.1,37.5
2009/2010,Fraser,Peace Arch Hospital,All Other Procedures,59,230,4.6,12.6
2009/2010,Fraser,Peace Arch Hospital,All Procedures,1729,3087,8.7,41.1
2009/2010,Fraser,Peace Arch Hospital,Biopsy in OR,5,24,2.6,10.8
2009/2010,Fraser,Peace Arch Hospital,Bladder Surgery,21,136,5.7,24.6
2009/2010,Fraser,Peace Arch Hospital,Bowel Resection,7,76,2.7,5.1
2009/2010,Fraser,Peace Arch Hospital,Breast Biopsy,5,85,3.3,8.1
2009/2010,Fraser,Peace Arch Hospital,Breast Reconstruction,,12,3.2,5.9
2009/2010,Fraser,Peace Arch Hospital,Breast Reduction,,19,2.6,8.1
2009/2010,Fraser,Peace Arch Hospital,Cataract Surgery,596,715,27.3,56
2009/2010,Fraser,Peace Arch Hospital,Cholecystectomy,36,113,7.6,17.6
2009/2010,Fraser,Peace Arch Hospital,Colostomy/Ileostomy,,8,11.1,21.6
2009/2010,Fraser,Peace Arch Hospital,Cone Biopsy,12,37,3.4,6.7
2009/2010,Fraser,Peace Arch Hospital,D&C and Related Surgery,23,65,4.9,11.5
2009/2010,Fraser,Peace Arch Hospital,Dental Surgery,5,13,10.1,21.1
2009/2010,Fraser,Peace Arch Hospital,Examination Under Anaesthetic,,5,22.3,37.7
2009/2010,Fraser,Peace Arch Hospital,Excision Gynecomastia,,,16.8,27.4
2009/2010,Fraser,Peace Arch Hospital,Facial Bone Reconstruction,5,18,10.2,28.2
2009/2010,Fraser,Peace Arch Hospital,Fallopian Tube/Ovarian Surgery,23,38,8.4,23.6
2009/2010,Fraser,Peace Arch Hospital,Fistula Repair - Non Vascular,,14,7.1,13.9
2009/2010,Fraser,Peace Arch Hospital,Foot/Ankle Surgery,24,17,43.9,91.6
2009/2010,Fraser,Peace Arch Hospital,Fracture Repair,6,12,3,35
2009/2010,Fraser,Peace Arch Hospital,Hand/Wrist Surgery,16,25,11,33.1
2009/2010,Fraser,Peace Arch Hospital,Hernia Repair - Abdominal,148,278,12.6,28.1
2009/2010,Fraser,Peace Arch Hospital,Hip Replacement,38,57,11.7,26.4
2009/2010,Fraser,Peace Arch Hospital,Kidney/Bladder Stone Removal,,5,4.4,8.7
2009/2010,Fraser,Peace Arch Hospital,Knee - ACL Repair,20,15,22,39.9
2009/2010,Fraser,Peace Arch Hospital,Knee Arthroscopy,210,88,25.4,55.9
2009/2010,Fraser,Peace Arch Hospital,Knee Replacement,67,139,10.9,34.2
2009/2010,Fraser,Peace Arch Hospital,Laparoscopy,11,36,4.4,13.2
2009/2010,Fraser,Peace Arch Hospital,Laparotomy,,23,2.6,15.9
2009/2010,Fraser,Peace Arch Hospital,Male Reproductive Surgery,,6,5.6,6.5
2009/2010,Fraser,Peace Arch Hospital,Mastectomy,7,120,2.3,6.1
2009/2010,Fraser,Peace Arch Hospital,Nasal Surgery,31,65,6,16.6
2009/2010,Fraser,Peace Arch Hospital,Other Eye Surgery,7,17,2.6,9.1
2009/2010,Fraser,Peace Arch Hospital,Other Joint Reconstruction,11,,28.9,34.7
2009/2010,Fraser,Peace Arch Hospital,Other Orthopaedic Surgery,75,63,22.4,47.7
2009/2010,Fraser,Peace Arch Hospital,Other Urology Surgery,14,61,5,15.3
2009/2010,Fraser,Peace Arch Hospital,Prostate Surgery,20,97,6.6,12.9
2009/2010,Fraser,Peace Arch Hospital,Rectal Surgery,,9,7.3,15.7
2009/2010,Fraser,Peace Arch Hospital,Shoulder Surgery,61,40,20.9,39.1
2009/2010,Fraser,Peace Arch Hospital,Skin Tumour Removal,22,43,5,33
2009/2010,Fraser,Peace Arch Hospital,Sphincterotomy,,,4.4,10.2
2009/2010,Fraser,Peace Arch Hospital,Tendon Surgery,,,3,12.5
2009/2010,Fraser,Peace Arch Hospital,Thyroidectomy,,,5.9,8.4
2009/2010,Fraser,Peace Arch Hospital,Tonsillectomy/Adenoidectomy,,7,10.9,23.6
2009/2010,Fraser,Peace Arch Hospital,Uterine Surgery,66,154,5.9,17.2
2009/2010,Fraser,Peace Arch Hospital,Vaginal Repair,35,45,19.1,45.3
2009/2010,Fraser,Peace Arch Hospital,Wound/Laceration Care,7,21,10,20.1
2009/2010,Fraser,Ridge Meadows Hospital,All Other Procedures,70,570,2.7,12
2009/2010,Fraser,Ridge Meadows Hospital,All Procedures,2170,6290,7,31.7
2009/2010,Fraser,Ridge Meadows Hospital,Biopsy in OR,,36,1.6,8.4
2009/2010,Fraser,Ridge Meadows Hospital,Bladder Surgery,9,57,3.9,14.1
2009/2010,Fraser,Ridge Meadows Hospital,Bowel Resection,6,37,1.6,7.7
2009/2010,Fraser,Ridge Meadows Hospital,Breast Biopsy,7,78,1.7,3.6
2009/2010,Fraser,Ridge Meadows Hospital,Cataract Surgery,1650,3218,13.6,40.9
2009/2010,Fraser,Ridge Meadows Hospital,Cholecystectomy,31,147,4,23.2
2009/2010,Fraser,Ridge Meadows Hospital,Colostomy/Ileostomy,,26,3.4,14.1
2009/2010,Fraser,Ridge Meadows Hospital,Cone Biopsy,8,58,3.3,8.3
2009/2010,Fraser,Ridge Meadows Hospital,Cyst/Ganglion Removal,,28,3.6,16.8
2009/2010,Fraser,Ridge Meadows Hospital,D&C and Related Surgery,23,163,3.4,11
2009/2010,Fraser,Ridge Meadows Hospital,Dental Surgery,24,88,10.4,29.7
2009/2010,Fraser,Ridge Meadows Hospital,Examination Under Anaesthetic,11,20,4.1,18
2009/2010,Fraser,Ridge Meadows Hospital,Excision Gynecomastia,,,10.9,33.5
2009/2010,Fraser,Ridge Meadows Hospital,Fallopian Tube/Ovarian Surgery,20,93,5.6,14.2
2009/2010,Fraser,Ridge Meadows Hospital,Foot/Ankle Surgery,11,29,7.6,18.4
2009/2010,Fraser,Ridge Meadows Hospital,Fracture Repair,,142,0.3,0.7
2009/2010,Fraser,Ridge Meadows Hospital,Hand/Wrist Surgery,18,78,3.8,11
2009/2010,Fraser,Ridge Meadows Hospital,Hernia Repair - Abdominal,62,272,6.4,26.8
2009/2010,Fraser,Ridge Meadows Hospital,Hip Replacement,25,38,10.6,31.1
2009/2010,Fraser,Ridge Meadows Hospital,Kidney/Bladder Stone Removal,,,3.7,4.1
2009/2010,Fraser,Ridge Meadows Hospital,Knee - ACL Repair,,20,5.2,9
2009/2010,Fraser,Ridge Meadows Hospital,Knee Arthroscopy,21,129,1.7,7.7
2009/2010,Fraser,Ridge Meadows Hospital,Knee Replacement,52,92,13.5,46.2
2009/2010,Fraser,Ridge Meadows Hospital,Laparoscopy,8,59,3.9,9.8
2009/2010,Fraser,Ridge Meadows Hospital,Ligament Surgery,,,0.3,0.3
2009/2010,Fraser,Ridge Meadows Hospital,Lipectomy,,,39.5,69.2
2009/2010,Fraser,Ridge Meadows Hospital,Male Reproductive Surgery,,17,3.3,7.6
2009/2010,Fraser,Ridge Meadows Hospital,Mastectomy,,41,1.7,5.1
2009/2010,Fraser,Ridge Meadows Hospital,Nerve Surgery,,10,4.5,11.7
2009/2010,Fraser,Ridge Meadows Hospital,Other Joint Reconstruction,,25,5.6,12.9
2009/2010,Fraser,Ridge Meadows Hospital,Other Orthopaedic Surgery,13,127,2.1,8.3
2009/2010,Fraser,Ridge Meadows Hospital,Other Urology Surgery,,16,3.9,7.3
2009/2010,Fraser,Ridge Meadows Hospital,Prostate Surgery,,65,3,7.2
2009/2010,Fraser,Ridge Meadows Hospital,Rectal Surgery,,14,8.5,32.3
2009/2010,Fraser,Ridge Meadows Hospital,Shoulder Surgery,,13,2.7,6.7
2009/2010,Fraser,Ridge Meadows Hospital,Skin Tumour Removal,8,55,3.6,14.6
2009/2010,Fraser,Ridge Meadows Hospital,Tendon Surgery,,31,0.1,0.9
2009/2010,Fraser,Ridge Meadows Hospital,Uterine Surgery,45,239,4.9,17.1
2009/2010,Fraser,Ridge Meadows Hospital,Vaginal Repair,6,36,7.6,20
2009/2010,Fraser,Ridge Meadows Hospital,Wound/Laceration Care,6,74,1.7,7
2009/2010,Fraser,Royal Columbian Hospital,All Other Procedures,129,778,2,8
2009/2010,Fraser,Royal Columbian Hospital,All Procedures,1032,3903,2.1,13.4
2009/2010,Fraser,Royal Columbian Hospital,Aortic Aneurysm Repair,41,67,5.1,24.4
2009/2010,Fraser,Royal Columbian Hospital,Biopsy in OR,,40,1.5,3.7
2009/2010,Fraser,Royal Columbian Hospital,Bladder Surgery,18,76,3.8,13.3
2009/2010,Fraser,Royal Columbian Hospital,Bowel Resection,18,164,2.6,9.3
2009/2010,Fraser,Royal Columbian Hospital,Breast Biopsy,,62,2.1,4.8
2009/2010,Fraser,Royal Columbian Hospital,Cholecystectomy,38,106,5.1,16.4
2009/2010,Fraser,Royal Columbian Hospital,Colostomy/Ileostomy,9,35,8.7,19.7
2009/2010,Fraser,Royal Columbian Hospital,Cone Biopsy,,19,5.1,8.7
2009/2010,Fraser,Royal Columbian Hospital,Cranial Surgery,14,235,0.9,4.6
2009/2010,Fraser,Royal Columbian Hospital,Cyst/Ganglion Removal,,,6.6,6.6
2009/2010,Fraser,Royal Columbian Hospital,D&C and Related Surgery,10,62,1.4,10.7
2009/2010,Fraser,Royal Columbian Hospital,Dental Surgery,5,13,8.6,65.3
2009/2010,Fraser,Royal Columbian Hospital,Endarterectomy,8,80,2.6,6
2009/2010,Fraser,Royal Columbian Hospital,Examination Under Anaesthetic,,13,0.7,8.9
2009/2010,Fraser,Royal Columbian Hospital,Facial Bone Reconstruction,,5,0.1,0.3
2009/2010,Fraser,Royal Columbian Hospital,Fallopian Tube/Ovarian Surgery,20,75,4.1,10.2
2009/2010,Fraser,Royal Columbian Hospital,Fistula Repair - Non Vascular,,,0.4,0.5
2009/2010,Fraser,Royal Columbian Hospital,Fracture Repair,15,232,0.1,0.9
2009/2010,Fraser,Royal Columbian Hospital,Hand/Wrist Surgery,,18,4.4,11.6
2009/2010,Fraser,Royal Columbian Hospital,Hernia Repair - Abdominal,64,125,7.6,20.7
2009/2010,Fraser,Royal Columbian Hospital,Hip Replacement,15,43,3.9,18.9
2009/2010,Fraser,Royal Columbian Hospital,Kidney/Bladder Stone Removal,,,1.1,1.6
2009/2010,Fraser,Royal Columbian Hospital,Knee - ACL Repair,,9,3.4,14.9
2009/2010,Fraser,Royal Columbian Hospital,Knee Arthroscopy,,17,15.4,30.7
2009/2010,Fraser,Royal Columbian Hospital,Knee Replacement,25,62,15.8,38.4
2009/2010,Fraser,Royal Columbian Hospital,Laparoscopy,7,61,2.3,8.3
2009/2010,Fraser,Royal Columbian Hospital,Male Reproductive Surgery,,17,2.9,8.4
2009/2010,Fraser,Royal Columbian Hospital,Mastectomy,9,79,2.3,4.2
2009/2010,Fraser,Royal Columbian Hospital,Nasal Surgery,,,1.2,1.8
2009/2010,Fraser,Royal Columbian Hospital,Nerve Surgery,69,63,7.4,22.3
2009/2010,Fraser,Royal Columbian Hospital,Other Joint Reconstruction,,10,2.6,8.7
2009/2010,Fraser,Royal Columbian Hospital,Other Orthopaedic Surgery,22,167,1,13.3
2009/2010,Fraser,Royal Columbian Hospital,Other Urology Surgery,,16,3.4,8.6
2009/2010,Fraser,Royal Columbian Hospital,Prostate Surgery,10,74,2.8,11.2
2009/2010,Fraser,Royal Columbian Hospital,Rectal Surgery,,8,6.4,15.8
2009/2010,Fraser,Royal Columbian Hospital,Shoulder Surgery,8,18,5.6,20.7
2009/2010,Fraser,Royal Columbian Hospital,Shunt Insertion/Removal,,32,0.8,4.4
2009/2010,Fraser,Royal Columbian Hospital,Skin Tumour Removal,9,26,2,13.2
2009/2010,Fraser,Royal Columbian Hospital,Spinal/Back Surgery,245,328,4.5,33.6
2009/2010,Fraser,Royal Columbian Hospital,Tendon Surgery,,74,0.1,0.6
2009/2010,Fraser,Royal Columbian Hospital,Thyroidectomy,,18,3.8,6.4
2009/2010,Fraser,Royal Columbian Hospital,Uterine Surgery,46,146,3.6,12.9
2009/2010,Fraser,Royal Columbian Hospital,Vaginal Repair,,11,5.4,10.1
2009/2010,Fraser,Royal Columbian Hospital,Varicose Veins Ligation/Stripping,94,34,1.9,20.8
2009/2010,Fraser,Royal Columbian Hospital,Vascular Bypass Graft - Non Cardiac,16,92,2.1,15.7
2009/2010,Fraser,Royal Columbian Hospital,Vascular Surgery - Other,13,92,2,5.8
2009/2010,Fraser,Royal Columbian Hospital,Wound/Laceration Care,5,47,0.1,1.7
2009/2010,Fraser,Surrey Memorial Hospital,Abdominoplasty,6,6,10.7,15.1
2009/2010,Fraser,Surrey Memorial Hospital,All Other Procedures,356,1234,3.9,16.4
2009/2010,Fraser,Surrey Memorial Hospital,All Procedures,4471,11353,5.3,24.4
2009/2010,Fraser,Surrey Memorial Hospital,Bariatric Surgery,9,19,3.4,7.6
2009/2010,Fraser,Surrey Memorial Hospital,Biopsy in OR,18,98,1.9,5.6
